parcel_number,address,tokens,tags
063-0003-0307-00,1009-1013-019 E MCMILLAN AVE,1009-1013-019|E|MCMILLAN|AVE|_EOS_,AddressNumber|PreDirectional|StreetName|StreetNamePostType|EOS
092-0003-0276-00,101 103 E UNIVERSITY AVE,101|103|E|UNIVERSITY|AVE|_EOS_,AddressNumber|AddressNumber|PreDirectional|StreetName|StreetNamePostType|EOS
603-0A23-0224-00,1010 VINTAGE CLUB BV,1010|VINTAGE|CLUB|BV|_EOS_,AddressNumber|StreetName|StreetName|StreetNamePostType|EOS
184-0005-0195-00,1012 1014 YORK ST,1012|1014|YORK|ST|_EOS_,AddressNumber|AddressNumber|StreetName|StreetNamePostType|EOS
073-0001-0260-00,1015 1 ST GREGORY ST,1015|1|ST|GREGORY|ST|_EOS_,AddressNumber|OccupancyIdentifier|StreetNamePreType|StreetName|StreetNamePostType|EOS
073-0001-0261-00,1015 2 ST GREGORY ST,1015|2|ST|GREGORY|ST|_EOS_,AddressNumber|OccupancyIdentifier|StreetNamePreType|StreetName|StreetNamePostType|EOS
073-0001-0262-00,1015 3 ST GREGORY ST,1015|3|ST|GREGORY|ST|_EOS_,AddressNumber|OccupancyIdentifier|StreetNamePreType|StreetName|StreetNamePostType|EOS
590-0230-0858-00,1020 5F LOST CROSSING,1020|5F|LOST|CROSSING|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
612-0120-0107-00,10200 REED HARTMAN HW,10200|REED|HARTMAN|HW|_EOS_,AddressNumber|StreetName|StreetName|StreetNamePostType|EOS
076-0001-0385-00,104 1A W NINTH ST,104|1A|W|NINTH|ST|_EOS_,AddressNumber|OccupancyIdentifier|PreDirectional|StreetName|StreetNamePostType|EOS
076-0001-0386-00,104 1B W NINTH ST,104|1B|W|NINTH|ST|_EOS_,AddressNumber|OccupancyIdentifier|PreDirectional|StreetName|StreetNamePostType|EOS
076-0001-0388-00,104 2A W NINTH ST,104|2A|W|NINTH|ST|_EOS_,AddressNumber|OccupancyIdentifier|PreDirectional|StreetName|StreetNamePostType|EOS
076-0001-0389-00,104 2B W NINTH ST,104|2B|W|NINTH|ST|_EOS_,AddressNumber|OccupancyIdentifier|PreDirectional|StreetName|StreetNamePostType|EOS
076-0001-0390-00,104 2C W NINTH ST,104|2C|W|NINTH|ST|_EOS_,AddressNumber|OccupancyIdentifier|PreDirectional|StreetName|StreetNamePostType|EOS
076-0001-0391-00,104 3A W NINTH ST,104|3A|W|NINTH|ST|_EOS_,AddressNumber|OccupancyIdentifier|PreDirectional|StreetName|StreetNamePostType|EOS
076-0001-0392-00,104 3B W NINTH ST,104|3B|W|NINTH|ST|_EOS_,AddressNumber|OccupancyIdentifier|PreDirectional|StreetName|StreetNamePostType|EOS
076-0001-0393-00,104 3C W NINTH ST,104|3C|W|NINTH|ST|_EOS_,AddressNumber|OccupancyIdentifier|PreDirectional|StreetName|StreetNamePostType|EOS
076-0001-0394-00,104 4A W NINTH ST,104|4A|W|NINTH|ST|_EOS_,AddressNumber|OccupancyIdentifier|PreDirectional|StreetName|StreetNamePostType|EOS
076-0001-0395-00,104 4B W NINTH ST,104|4B|W|NINTH|ST|_EOS_,AddressNumber|OccupancyIdentifier|PreDirectional|StreetName|StreetNamePostType|EOS
076-0001-0396-00,104 4C W NINTH ST,104|4C|W|NINTH|ST|_EOS_,AddressNumber|OccupancyIdentifier|PreDirectional|StreetName|StreetNamePostType|EOS
076-0001-0397-00,104 5A W NINTH ST,104|5A|W|NINTH|ST|_EOS_,AddressNumber|OccupancyIdentifier|PreDirectional|StreetName|StreetNamePostType|EOS
076-0001-0399-00,104 5C W NINTH ST,104|5C|W|NINTH|ST|_EOS_,AddressNumber|OccupancyIdentifier|PreDirectional|StreetName|StreetNamePostType|EOS
076-0001-0400-00,104 6A W NINTH ST,104|6A|W|NINTH|ST|_EOS_,AddressNumber|OccupancyIdentifier|PreDirectional|StreetName|StreetNamePostType|EOS
076-0001-0401-00,104 6B W NINTH ST,104|6B|W|NINTH|ST|_EOS_,AddressNumber|OccupancyIdentifier|PreDirectional|StreetName|StreetNamePostType|EOS
076-0001-0402-00,104 6C W NINTH ST,104|6C|W|NINTH|ST|_EOS_,AddressNumber|OccupancyIdentifier|PreDirectional|StreetName|StreetNamePostType|EOS
