parcel_number,address,tokens,tags,
603-0A23-0224-00,1010 VINTAGE CLUB BV,1010|VINTAGE|CLUB|BV|_EOS_,AddressNumber|StreetName|StreetName|StreetNamePostType|EOS,
184-0005-0195-00,1012 1014 YORK ST,1012|1014|YORK|ST|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS,
073-0001-0260-00,1015 1 ST GREGORY ST,1015|1|ST|GREGORY|ST|_EOS_,AddressNumber|OccupancyIdentifier|StreetNamePreType|StreetName|StreetNamePostType|EOS,
073-0001-0261-00,1015 2 ST GREGORY ST,1015|2|ST|GREGORY|ST|_EOS_,AddressNumber|OccupancyIdentifier|StreetNamePreType|StreetName|StreetNamePostType|EOS,
073-0001-0262-00,1015 3 ST GREGORY ST,1015|3|ST|GREGORY|ST|_EOS_,AddressNumber|OccupancyIdentifier|StreetNamePreType|StreetName|StreetNamePostType|EOS,
612-0120-0107-00,10200 REED HARTMAN HW,10200|REED|HARTMAN|HW|_EOS_,AddressNumber|StreetName|StreetName|StreetNamePostType|EOS,
590-0210-0274-00,1043 1051 NORTH BEND RD,1043|1051|NORTH|BEND|RD|_EOS_,AddressNumber|AddressNumber|StreetName|StreetName|StreetNamePostType|EOS,
561-0021-0146-00,10456 3 JESICA  UNIT 3 LN,10456|3|JESICA||UNIT|3|LN|_EOS_,AddressNumber|AddressNumberSuffix|StreetName|OccupancyType|OccupancyIdentifier|StreetNamePostType|EOS,
603-0A23-0198-00,107 VINTAGE CLUB BV,107|VINTAGE|CLUB|BV|_EOS_,AddressNumber|StreetName|StreetName|StreetNamePostType|EOS,
612-0150-0712-00,10856 REED HARTMAN HW,10856|REED|HARTMAN|HW|_EOS_,AddressNumber|StreetName|StreetName|StreetNamePostType|EOS,
612-0150-0713-00,10866 REED HARTMAN HW,10866|REED|HARTMAN|HW|_EOS_,AddressNumber|StreetName|StreetName|StreetNamePostType|EOS,
612-0150-0523-00,10900 E ALLENHURST BV,10900|E|ALLENHURST|BV|_EOS_,AddressNumber|StreetNamePreDirectional|StreetName|StreetNamePostType|EOS,
612-0150-0524-00,10901 E ALLENHURST BV,10901|E|ALLENHURST|BV|_EOS_,AddressNumber|StreetNamePreDirectional|StreetName|StreetNamePostType|EOS,
612-0150-0525-00,10903 E ALLENHURST BV,10903|E|ALLENHURST|BV|_EOS_,AddressNumber|StreetNamePreDirectional|StreetName|StreetNamePostType|EOS,
612-0150-0526-00,10905 E ALLENHURST BV,10905|E|ALLENHURST|BV|_EOS_,AddressNumber|StreetNamePreDirectional|StreetName|StreetNamePostType|EOS,
